count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
17917,S,2005,2005-10-18,13,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,25,38,424,16,67,6,1,1,2,0,0,10,555
17917,S,2005,2005-10-18,14,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,34,41,382,17,63,3,0,0,1,0,0,4,507
17917,S,2005,2005-10-18,15,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,36,42,476,22,59,1,0,0,1,1,0,3,602
17917,S,2005,2005-10-18,16,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,75,48,465,42,49,1,0,0,0,0,0,1,605
17917,S,2005,2005-10-18,17,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,148,101,595,48,52,1,0,0,0,0,0,1,797
17917,S,2005,2005-10-18,18,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,329,135,594,21,23,3,0,0,0,0,0,3,776
18169,W,2005,2005-06-22,17,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,69,61,302,1,30,2,1,0,0,0,0,3,397
18169,W,2005,2005-06-22,18,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,138,56,297,5,38,4,0,0,0,0,0,4,400
18169,E,2005,2005-06-22,7,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,21,25,107,8,26,4,1,0,0,0,0,5,171
18169,E,2005,2005-06-22,8,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,67,62,246,6,45,11,1,0,0,0,0,12,371
18169,E,2005,2005-06-22,9,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,59,40,218,3,45,15,3,0,0,1,0,19,325
18169,E,2005,2005-06-22,10,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,18,27,192,5,31,7,1,0,0,0,0,8,263
18169,E,2005,2005-06-22,11,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,15,24,219,5,48,15,0,0,0,0,0,15,311
18169,E,2005,2005-06-22,12,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,10,27,236,3,46,10,1,0,0,0,0,11,323
18169,E,2005,2005-06-22,13,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,14,17,259,6,36,9,0,0,0,0,0,9,327
18169,E,2005,2005-06-22,14,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,14,21,245,6,37,4,0,0,0,0,0,4,313
18169,E,2005,2005-06-22,15,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,21,33,348,4,45,11,0,0,0,0,0,11,441
18169,E,2005,2005-06-22,16,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,17,26,309,5,23,5,0,0,0,0,0,5,368
18169,E,2005,2005-06-22,17,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,17,27,267,11,17,1,1,0,0,0,0,2,324
18169,E,2005,2005-06-22,18,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,23,18,295,10,23,3,0,0,0,0,0,3,349
18169,W,2005,2005-06-22,7,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,9,10,101,0,27,14,1,0,0,0,0,15,153
18169,W,2005,2005-06-22,8,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,18,4,164,2,47,13,4,0,0,0,0,17,234
18169,W,2005,2005-06-22,9,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,13,21,197,0,52,17,0,1,0,0,0,18,288
18169,W,2005,2005-06-22,10,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,16,29,160,1,66,16,1,0,0,0,0,17,273
18169,W,2005,2005-06-22,11,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,18,37,239,5,61,21,1,0,0,0,0,22,364
18169,W,2005,2005-06-22,12,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,17,33,226,1,50,12,0,0,0,0,0,12,322
18169,W,2005,2005-06-22,13,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,21,45,224,0,59,11,0,0,0,0,0,11,339
18169,W,2005,2005-06-22,14,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,25,25,271,2,63,12,1,0,0,0,0,13,374
18169,W,2005,2005-06-22,15,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,10,28,291,9,27,10,0,0,0,0,0,10,365
18169,W,2005,2005-06-22,16,6,London,109,Westminster,A5204,Major,A5,A41,528000,181174,51.51499910,-0.15672794,0.40,0.25,44,39,535,2,28,10,1,0,0,0,0,11,615
26114,E,2005,2005-04-11,7,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,56,91,409,49,184,47,11,1,1,0,0,60,793
26114,E,2005,2005-04-11,8,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,74,216,378,82,169,0,4,4,2,1,0,11,856
26114,E,2005,2005-04-11,9,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,44,71,352,78,103,0,3,0,0,1,1,5,609
26114,E,2005,2005-04-11,10,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,32,93,351,50,206,53,1,2,0,1,1,58,758
26114,E,2005,2005-04-11,11,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,22,79,374,51,185,32,7,1,1,0,0,41,730
26114,E,2005,2005-04-11,12,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,31,84,366,58,162,43,2,2,0,0,2,49,719
26114,E,2005,2005-04-11,13,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,33,88,537,46,206,0,1,1,2,0,0,4,881
26114,E,2005,2005-04-11,14,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,40,115,516,62,177,0,1,0,0,1,0,2,872
26114,E,2005,2005-04-11,15,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,44,124,546,52,143,0,0,0,0,0,0,0,865
26114,E,2005,2005-04-11,16,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,41,77,498,57,104,4,0,0,0,0,0,4,740
26114,E,2005,2005-04-11,17,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,59,156,410,56,38,3,0,0,0,0,0,3,663
